"public","theme","count","prop"
"private","aquatics",1489,0.016
"private","arts",681,0.007
"private","biota",9469,0.101
"private","dogs",1130,0.012
"private","equestrian",224,0.002
"private","food/dining",2329,0.025
"private","people",13265,0.142
"private","scenery",44828,0.48
"private","sports",1649,0.018
"private","structures",9608,0.103
"private","transport",8666,0.093
"public","aquatics",2202,0.04
"public","arts",75,0.001
"public","biota",2079,0.037
"public","dogs",490,0.009
"public","equestrian",9,0
"public","food/dining",305,0.006
"public","people",2737,0.049
"public","scenery",43807,0.79
"public","sports",16,0
"public","structures",1519,0.027
"public","transport",2207,0.04
