"from","NFR","NY","VT","NH","ME","statistic"
"NFR",0.956929918471547,0.985303193951551,0.983993516361058,0.99028749028749,0.98750967171438,"accuracy"
"NY",0.912950564518121,0.95023788093095,0.922905480701044,0.87973137973138,0.862680078110608,"accuracy"
"VT",0.75964127776268,0.798603610553927,0.958459979736575,0.631812631812632,0.724144283556243,"accuracy"
"NH",0.740763158869962,0.83486344699892,0.895451322054503,0.967252543940796,0.429092516856416,"accuracy"
"ME",0.862239351714596,0.77954790927326,0.8327423766589,0.806804306804307,0.960943257184967,"accuracy"
"NFR",0.989505882352941,0.995893314492626,0.997900320477401,0.998253986730299,0.996240771774084,"sensitivity"
"NY",0.941498957100175,0.987066431510876,0.969609901646591,0.898614829472704,0.907559219167535,"sensitivity"
"VT",0.764685156998703,0.807913097235715,0.990388170055453,0.624025142591084,0.734181801712034,"sensitivity"
"NH",0.741145796631668,0.874194118166564,0.941982539507128,0.996312827479138,0.321798994519679,"sensitivity"
"ME",0.8634467401415,0.778150666784421,0.847054923195933,0.813292981026656,0.986351228389445,"sensitivity"
"NFR",0.728919631093544,0.912141549725442,0.830900243309002,0.826555023923445,0.949427103911497,"specificity"
"NY",0.710342068413683,0.692702980472765,0.408759124087591,0.491626794258373,0.666930067167128,"specificity"
"VT",0.723844768953791,0.734289200732154,0.62109375,0.791866028708134,0.680363492690636,"specificity"
"NH",0.738047609521904,0.563148261134838,0.383211678832117,0.373015873015873,0.897076254444883,"specificity"
"ME",0.853670734146829,0.789200732153752,0.675182481751825,0.673444976076555,0.852713178294574,"specificity"
