"theme","STUSPS","count","prop"
"scenery","ME",26736,0.652
"scenery","NY",26291,0.535
"scenery","NH",25156,0.691
"scenery","VT",10452,0.471
"people","NY",6583,0.134
"structures","NY",4629,0.094
"transport","NY",4036,0.082
"biota","NY",3946,0.08
"people","NH",3435,0.094
"biota","VT",3400,0.153
"structures","ME",3104,0.076
"people","ME",3100,0.076
"people","VT",2884,0.13
"biota","ME",2679,0.065
"transport","ME",2654,0.065
"transport","NH",2424,0.067
"structures","NH",2060,0.057
"transport","VT",1759,0.079
"biota","NH",1523,0.042
"aquatics","NY",1349,0.027
"structures","VT",1334,0.06
"aquatics","ME",1301,0.032
"sports","VT",1109,0.05
"food/dining","NY",847,0.017
"food/dining","ME",768,0.019
"aquatics","NH",670,0.018
"dogs","NY",570,0.012
"food/dining","NH",560,0.015
"dogs","ME",543,0.013
"food/dining","VT",459,0.021
"sports","NY",433,0.009
"aquatics","VT",371,0.017
"arts","NY",358,0.007
"dogs","VT",291,0.013
"arts","NH",222,0.006
"dogs","NH",216,0.006
"equestrian","NY",132,0.003
"arts","VT",107,0.005
"sports","NH",98,0.003
"arts","ME",69,0.002
"equestrian","NH",36,0.001
"equestrian","ME",33,0.001
"equestrian","VT",32,0.001
"sports","ME",25,0.001
