"theme","top10tags","n_tags"
"aquatics","waterway, boat, water transportation, boating, boats and boating equipment and supplies, watercraft, kayak, dock, sailing, harbor, ",125
"arts","performance, entertainment, performing arts, stage, musician, music, musical instrument, concert, audio, rock concert, ",64
"biota","flora, fauna, wildlife, mammal, bird, flower, beak, snout, spring, organism, ",519
"dogs","dog like mammal, dog, dog breed group, dog breed, carnivoran, karelian bear dog, border collie, dog crossbreeds, sporting group, retriever, ",117
"equestrian","horse, horse like mammal, mane, mare, stallion, mustang horse, horse harness, bridle, horse supplies, rein, ",29
"food/dining","food, drink, cuisine, meal, lunch, eating, dish, animal source foods, supper, brunch, ",270
"people","fun, girl, child, smile, event, people, male, sunglasses, sitting, glasses, ",434
"scenery","sea, winter, lake, snow, river, loch, reflection, rock, shore, freezing, ",606
"sports","sports, team, team sport, games, competition, sport venue, player, ball game, football player, soccer, ",76
"structures","house, home, cottage, property, building, real estate, window, residential area, architecture, roof, ",192
"transport","vehicle, car, road, motor vehicle, transport, infrastructure, mode of transport, lane, land vehicle, automotive exterior, ",295
